coraggio;propensione al rischio;temerarietà;prudenza;propensione a evitare i rischi;viltà
generosità;propensione alla spesa;prodigalità;senso dell'economia;propensione al risparmio;avarizia
fermezza;propensione alla sanzione;inclemenza;clemenza;propensione al perdono;lassismo
obiettività;essere neutrali;impersonalità;impegno;schierarsi;soggettività
franchezza;agire direttamente;schiettezza;tatto;agire indirettamente;tendenza alla parzialità
mobilità;tendenza a muoversi;instabilità;stabilità;tendenza a rimanere fermi;sedentarietà
ambizione costruttiva;ambizione;ambizione sproporzionata;abnegazione;dimenticanza di sé;rinuncia a se stessi
eclettismo;multidisciplinarietà;superficialità;perizia;mono-disciplinarità;compartimentazione
capacità di astrazione;interesse per l'astratto;dogmatismo;pragmatismo;interesse per il concreto;prosaicità
risoluzione;mantenere la propria opinione;testardaggine;flessibilità mentale;cambiare idea;irresolutezza
ottimismo;vedere i vantaggi;beato ottimismo;consapevolezza dei problemi;vedere gli svantaggi;pessimismo
incredulità;propensione al dubbio;iper-sfiducia;fiducia giustificata;propensione a credere;credulità
